EventCode,NumMentions,Actor1Code,Actor1Name,Actor2Code,Actor2Name,NumArticles,DATEADDED
020,10,CVLCVL,VILLAGE,,,10,20230524044500
071,10,CVLCVL,RESIDENTS,,,10,20230524044500
193,10,DOM,REPUBLICA DOMINICANA,,,10,20230524044500
036,10,DOM,REPUBLICA DOMINICANA,BUS,BUSINESS,10,20230524044500
125,10,EDU,STUDENT,GOV,MINISTRY,10,20230524044500
186,10,GOV,MINISTRY,EDU,STUDENT,10,20230524044500
036,10,GOV,GOVERNMENT,LAB,TRADE UNION,10,20230524044500
043,10,GOV,PRIME MINISTER,PTY,POLITICIAN,10,20230524044500
084,10,IDN,YOGYAKARTA,,,10,20230524044500
1014,10,JUD,PROSECUTOR,,,10,20230524044500
020,10,JUD,PROSECUTOR,CRM,CRIMINAL,10,20230524044500
1014,10,MIL,LIEUTENANT,,,10,20230524044500
010,10,MIL,CARRIER,JEW,RABBI,10,20230524044500
042,10,PTY,POLITICIAN,GOV,PRIME MINISTER,10,20230524044500
190,10,RAD,EXTREMIST,,,10,20230524044500
010,10,REL,SAINT,BUS,BUSINESS,10,20230524044500
190,10,REL,SAINT,BUS,BUSINESS,10,20230524044500
040,10,RUS,IRKUTSK,,,10,20230524044500
111,20,RUS,KRASNOYARSK,,,10,20230524044500
114,10,RUS,RUSSIAN,,,10,20230524044500
193,10,RUS,IRKUTSK,CRM,CRIMINAL,10,20230524044500
111,10,RUS,KRASNOYARSK,EDU,STUDENT,10,20230524044500
0231,10,SPY,INTELLIGENCE,,,10,20230524044500
081,5,,,BTN,BUMTHANG,5,20230524070000
041,5,,,BUS,BUSINESS,5,20230524070000
1031,10,,,BUS,INVESTOR,10,20230524070000
051,10,,,GBR,WALES,10,20230524070000
1014,5,,,GOV,MINIST OF STATE,5,20230524070000
042,10,,,HIN,HINDU,10,20230524070000
0841,10,,,MED,WEBSITE,10,20230524070000
042,5,,,NRMRAC020,CREATIVITY,5,20230524070000
100,5,,,kad,KADAZAN,5,20230524070000
046,10,AGR,GRANGER,CVL,COMMUNITY,10,20230524070000
033,20,BOL,SANTA CRUZ,,,10,20230524070000
033,10,BOL,SANTA CRUZ,BUS,BANK,10,20230524070000
110,5,BTN,CHUKHA,,,5,20230524070000
041,5,BUS,BUSINESS,,,5,20230524070000
020,5,BUS,INDUSTRY,MNCUSA,NVIDIA,5,20230524070000
090,10,BUSMED,BANK,BUS,BANK,10,20230524070000
090,10,CAN,ONTARIO,CVL,RESIDENTS,10,20230524070000
051,10,CAN,ONTARIO,JUD,LAWYER,10,20230524070000
040,10,CAN,ONTARIO,LEG,DELEGATE,10,20230524070000
070,10,CHRPRO300,PRESBYTERIAN,CVL,COMMUNITY,10,20230524070000
0353,10,COP,POLICE,,,10,20230524070000
070,10,COP,POLICE OFFICER,,,10,20230524070000
151,10,COP,POLICE,,,10,20230524070000
152,10,COP,POLICE,,,10,20230524070000
114,5,COP,POLICE,CRM,CRIMINAL,5,20230524070000
090,5,COP,POLICE,HLH,HOSPITAL,5,20230524070000
173,10,COP,DEPUTY,MIL,CAPTAIN,10,20230524070000
