,published_at,topic_class
246,2020-06-15T11:48:04+0000,"[(344, 0.9887751)]"
247,2012-11-02T18:26:00+0000,"[(107, 0.99423087)]"
248,2018-12-20T13:03:48+0000,"[(314, 0.6323332), (449, 0.24590252), (458, 0.118882075)]"
249,2010-03-04T17:05:29+0000,"[(29, 0.98631305)]"
250,2014-10-02T19:56:18+0000,"[(37, 0.9397862), (66, 0.048064098)]"
251,2017-04-11T17:15:00+0000,"[(97, 0.13991247), (286, 0.53081715), (363, 0.15502983), (484, 0.13290204)]"
252,2015-04-28T16:56:26+0000,"[(258, 0.9924959)]"
253,2020-01-22T14:26:48+0000,"[(476, 0.9938393)]"
254,2021-03-15T21:39:14+0000,"[(20, 0.9948019)]"
255,2013-07-15T11:54:10+0000,"[(49, 0.89060235), (321, 0.08675752)]"
256,2019-10-15T13:32:12+0000,"[(143, 0.07388162), (489, 0.9227072)]"
257,2017-11-07T18:52:08+0000,"[(204, 0.9916132)]"
